ID,LABEL
0,3
1,2
2,1
3,8
4,2
5,0
6,1
7,2
8,9
9,8
10,6
11,9
12,1
13,1
14,7
15,6
16,7
17,1
18,0
19,1
20,1
21,2
22,1
23,0
24,6
25,3
26,1
27,3
28,1
29,3
30,2
31,5
32,1
33,5
34,1
35,5
36,1
37,9
38,2
39,3
40,3
41,2
42,1
43,1
44,3
45,8
46,1
47,9
48,7
49,9
50,3
51,1
52,9
53,5
54,7
55,1
56,8
57,5
58,3
59,9
60,7
61,7
62,9
63,0
64,5
65,1
66,3
67,2
68,9
69,9
70,6
71,0
72,2
73,2
74,6
75,3
76,9
77,1
78,5
79,5
80,0
81,5
82,9
83,0
84,8
85,2
86,2
87,5
88,2
89,9
90,3
91,2
92,1
93,2
94,5
95,7
96,9
97,6
98,9
99,9
100,1
101,0
102,7
103,0
104,7
105,1
106,3
107,0
108,5
109,3
110,8
111,6
112,1
113,2
114,9
115,2
116,1
117,8
118,3
119,1
120,0
121,1
122,9
123,3
124,9
125,4
126,1
127,6
128,5
129,9
130,9
131,1
132,5
133,6
134,3
135,1
136,0
137,4
138,9
139,0
140,1
141,3
142,2
143,3
144,3
145,3
146,7
147,5
148,2
149,1
150,4
151,1
152,9
153,1
154,9
155,0
156,9
157,5
158,1
159,0
160,6
161,9
162,0
163,3
164,1
165,2
166,0
167,1
168,2
169,1
170,3
171,1
172,0
173,9
174,2
175,7
176,7
177,1
178,9
179,9
180,9
181,7
182,3
183,7
184,3
185,6
186,0
187,9
188,5
189,3
190,9
191,7
192,8
193,0
194,2
195,3
196,6
197,9
198,8
199,1
200,2
201,8
202,3
203,1
204,8
205,9
206,9
207,9
208,8
209,3
210,0
211,2
212,6
213,1
214,2
215,5
216,2
217,6
218,2
219,2
220,1
221,1
222,8
223,1
224,5
225,6
226,0
227,7
228,1
229,2
230,8
231,0
232,6
233,7
234,7
235,1
236,4
237,9
238,1
239,3
240,3
241,6
242,1
243,9
244,1
245,9
246,1
247,0
248,6
249,0
250,2
251,2
252,7
253,6
254,1
255,0
256,2
257,1
258,3
259,6
260,0
261,9
262,3
263,1
264,1
265,8
266,0
267,1
268,1
269,2
270,9
271,0
272,7
273,7
274,9
275,1
276,3
277,8
278,5
279,1
280,1
281,4
282,8
283,0
284,9
285,9
286,3
287,2
288,9
289,5
290,8
291,2
292,6
293,2
294,1
295,9
296,1
297,4
298,1
299,0
300,3
301,3
302,5
303,2
304,7
305,5
306,7
307,1
308,0
309,0
310,7
311,8
312,0
313,6
314,1
315,9
316,5
317,0
318,8
319,0
320,0
321,1
322,7
323,6
324,1
325,9
326,7
327,2
328,1
329,3
330,9
331,1
332,9
333,3
334,4
335,3
336,7
337,2
338,6
339,0
340,7
341,2
342,3
343,6
344,0
345,8
346,3
347,1
348,9
349,1
350,2
351,9
352,0
353,6
354,6
355,6
356,2
357,1
358,8
359,8
360,0
361,2
362,2
363,2
364,4
365,9
366,1
367,2
368,5
369,9
370,7
371,4
372,9
373,9
374,6
375,2
376,2
377,8
378,5
379,5
380,1
381,2
382,7
383,1
384,4
385,1
386,0
387,3
388,4
389,4
390,0
391,9
392,1
393,8
394,3
395,3
396,1
397,9
398,7
399,3
400,7
401,3
402,8
403,1
404,2
405,3
406,6
407,2
408,3
409,1
410,6
411,7
412,9
413,2
414,8
415,2
416,2
417,0
418,2
419,0
420,3
421,2
422,9
423,2
424,4
425,1
426,2
427,0
428,9
429,3
430,1
431,2
432,0
433,3
434,9
435,5
436,0
437,9
438,1
439,9
440,2
441,1
442,4
443,0
444,1
445,3
446,9
447,9
448,3
449,0
450,2
451,1
452,8
453,1
454,2
455,1
456,2
457,0
458,9
459,9
460,2
461,8
462,2
463,5
464,2
465,8
466,8
467,5
468,1
469,0
470,3
471,1
472,3
473,1
474,3
475,3
476,2
477,0
478,3
479,3
480,0
481,5
482,0
483,1
484,5
485,5
486,5
487,4
488,9
489,3
490,6
491,8
492,2
493,2
494,6
495,3
496,1
497,8
498,3
499,0
500,0
501,4
